artist,artist_type,artist_country,artist_tags
A.R. Rahman,,,
ABBA,Group,SE,"rock, electronic, synthpop, pop, swedish, sweden, pop-rock, folk rock, disco, glam rock, christmas, 1980s, 1990s, 1970s, dance-pop, pop rock, europop, eurovision, european, classic pop and rock, euro pop, dance music, gold, euro-pop, am pop, mainstream rock, swedish pop, palindrome, contemporary pop/rock, swedish pop/rock, 80's, 90's, 70's, a filk artist, euro-disco, scandinavian pop, 00's, music of sweden"
Above & Beyond,Group,GB,"trance, electronic, downtempo, pop, drum and bass, ambient, dance, house, experimental, seen live, progressive, deep house, electronica, breakbeat, breaks, ambient trance, progressive trance, progressive house, club, progressive electronic, edm, dance and electronica, vocal trance, richard bedford, 2010s, melodic techno, melodic house, organic house"
Adele,Person,GB,"pop, jazz, singer, soul, adult contemporary, blue-eyed soul, neo soul, pop and chart, pop soul, blue eyed soul, r&b, adele, alternative/indie rock, adult alternative pop/rock, 2010s, blues-pop, english singer, music for soccer moms, aln-sh"
Alan Menken,Person,US,"pianist, musical, disney legend, film composer, academy award winner, little shop of horrors"
Alan Walker,Person,NO,"electronic, pop, dance, electropop, dance-pop, progressive house, club, electro house, edm, 2010s, independent artist, trap edm, tropical house, future bass, 2020s"
Alesso,Person,SE,"edm, 2010s, 2020s, future bass, big room house, dance-pop, progressive house, electro house"
Alfredo De Angelis,Person,AR,tango
Alireza Mashayekhi,,,
Alka Yagnik,Person,IN,"filmi, bhajan, 2000s, indi pop, indian pop, ghazal, rabindra sangeet, bollywood, hindi, world, indian"
Almafuerte,Group,AR,"rock, heavy metal, metal, hard rock, speed metal, latin rock, argentina, improper capitalization"
Alphaxone,Person,,dark ambient
Alvaro Diaz,Person,PR,"latin, reggaeton"
Andrea Bocelli,Person,IT,"classical, pop, italian, classical crossover, european, tenor, classical pop, italian pop, italian tenor, italian classic"
Andrew Lloyd Webber,Person,GB,"classical, british, uk, composer, english, musical"
Anirudh Ravichander,Person,IN,"filmi, composer, film composer"
Anitta,Person,BR,"latin pop, pop soul, reggaeton, latin, anitta, teen pop, pop, funk"
Anuel AA,Person,PR,"trap latino, latin, reggaeton"
Anupam Roy,Person,IN,"singer-songwriter, filmi"
Arctic Monkeys,Group,GB,"rock, pop, alternative rock, dance, house, british, uk, britannique, 2007, indie rock, indie, electronica, alternative, psychedelic rock, art rock, baroque pop, soft rock, psychedelic pop, garage rock revival, post-punk revival, garage rock, neo-psychedelia, english, domino, sheffield, epic, rock and indie, cool, alternative/indie rock, gamer, tumblr"
Arijit Singh,Person,IN,"bollywood, filmi, indian pop, gaana"
Armin van Buuren,Person,NL,"trance, electronic, pop, drum and bass, hardcore, dance, seen live, dutch, techno, electronica, psytrance, dance-pop, progressive trance, progressive house, electro house, edm, dance and electronica, best of, uplifting trance, tech trance, vocal trance, dutch trance, serenity, afro house, melodic trance, melodic techno, melodic house, dj tools, many names"
Art Popular,Group,BR,
Asspera,Group,AR,"metal, comedy rock, groove metal, missing releases"
Avicii,Person,SE,"electronic, house, seen live, electropop, dance-pop, funky house, progressive house, electro house, edm, tropical house, festival progressive house"
BOØWY,Group,JP,"rock, punk, post-punk, new wave, power pop, j-rock, pop rock, pop punk, beat rock, fixme label mess"
BTS,Group,KR,"pop, dance, korean, k-pop, english, boy band, boy group, teen pop, 2010s, fixme label mess, corean, 2020s, 3rd gen k-pop"
Babasónicos,Group,AR,"alternative rock, argentinian, psychedelic pop"
Bad Bunny,Person,PR,"pop, hip hop, spanish, latin, english, reggaeton, latin urban, latin trap, trap latino"
BaianaSystem,Group,BR,"rock, reggae"
Becky Hill,Person,GB,"pop, house"
Bethel Music,Group,US,contemporary christian
Billie Eilish,Person,US,"electronic, downtempo, pop, singer-songwriter, usa, electronica, alternative, electropop, lo-fi, female vocals, indie pop, leftfield, pop rock, alternative pop, english, indietronica, los angeles, queer, teen pop, pop soul, alt-pop, progressive pop, dark pop, contemporary r&b, 2010s, art pop, alternative r&b, trap, bedroom pop, pity pop, englisch, 2020s, sad girl pop, gen z, late 2010s, nepo baby"
Billy Joel,Person,US,"rock, classical, pop, american, singer-songwriter, usa, new york, melodic, classic rock, soft rock, pop rock, piano rock, english, classic pop and rock, eclectic, united states, this is the time, sentimental, singer/songwriter, aln-sh"
Biquini Cavadão,,,
Blake Rules,Person,,
Bonobo,Person,GB,"rock, electronic, downtempo, pop, jazz, dance, house, british, idm, electro, uk, deep house, techno, electronica, breakbeat, disco, downbeat, breaks, world music, acid jazz, uk garage, english, trip hop, nu jazz, club, ninja tune, future jazz, edm, bassline, ambient breakbeat, jazz-house, melodic techno, melodic house, organic house"
Boris Brejcha,Person,DE,"trance, electronic, dance, techno, minimal techno, tech house, progressive house, melodic techno"
Brenda Lee,Person,,"rock, pop, american, rockabilly, country, rock and roll, classic pop and rock, 2008 universal fire victim"
Bring Me The Horizon,Group,GB,"rock, electronic, pop, alternative rock, drum and bass, heavy metal, house, metalcore, hard rock, nu metal, emo, screamo, psychedelic rock, alternative metal, pop rock, post-hardcore, deathcore, alternative hardcore, electronic rock, melodic metalcore, alternative/indie rock"
Bruno Mars,Person,US,"rock, pop, new wave, funk, soul, pop rock, pop soul, r&b, contemporary r&b, 2010s, synth funk, a filk artist, relic inn, music for soccer moms"
Bryan Adams,Person,CA,"rock, british, canadian, singer-songwriter, new wave, hard rock, power pop, classic rock, soft rock, acoustic rock, adult contemporary, pop rock, arena rock, album oriented rock, heartland rock, aor, rock and indie, 2008 universal fire victim"
Bullet For My Valentine,Group,GB,"alternative rock, hardcore, heavy metal, thrash metal, metal, metalcore, seen live, uk, nu metal, welsh, alternative metal, groove metal, wales, rock and indie, emocore, melodic metalcore, uk metalcore, welsh metal"
Burna Boy,Person,NG,"reggae, afrobeat, english, dancehall, afrobeats, afro fusion"
Calcinha Preta,Group,BR,"forró, forró eletrônico"
Calvin Harris,Person,,"electronic, pop, dance, house, synth-pop, electropop, disco, dance-pop, progressive house, uk garage, club, hip house, electro house, edm, dance and electronica, funktronica, nu disco, nu-disco, uk hip hop, contemporary r&b, 2010s, melodic techno, complextro, electro-disco, ibiza trance, melodic house, festival progressive house, late 2000s"
Carajo,Group,AR,rock
Carlos Gardel,Person,AR,"french, argentinian, tango, argentina, death by airplane"
Charlie Brown Jr.,Group,BR,alternative rock
Charlie Puth,Person,US,"pop, funk, soul, ballad, dance-pop, neo soul, pop soul, contemporary pop/rock, contemporary r&b, soft pop, social media pop"
Charly García,Person,AR,"rock, pop, alternative rock, progressive rock, singer-songwriter, new wave, hard rock, funk, funk rock, synth-pop, blues rock, art rock, soft rock, experimental rock, pop rock, symphonic rock, gothic rock, latin pop, latin rock, operatic pop, aor, argentina, progressive pop, singer/songwriter, pop/rock, argentine rock, art pop, argentinian rock, opera rock, latin american rock, latin pop/rock, tango rock"
Chris Jedi,Person,PR,"latin, latin urban, reggaeton"
Chris Tomlin,Person,US,"contemporary christian, contemporary worship"
Chronic Law,Person,,
Chuck Berry,Person,US,"rock, jazz, american, blues, usa, rockabilly, soul, rock n roll, blues rock, classic rock, rock and roll, rhythm and blues, classic pop and rock, novelty, rock & roll, rhythm & blues, rock-and-roll, 2008 universal fire victim"
Cigarettes After Sex,Group,US,"pop, shoegaze, ambient, indie rock, indie pop, dream pop, slowcore, ethereal, los angeles, ambient pop, androgynous vocals"
Clean Bandit,Group,GB,"electronic, pop, dance, house, uk, electropop, tech house, dance-pop, english, dancehall, united kingdom, left-field house, uk funky"
CoComelon,,,
Cooltime Kids,Group,US,
Criolo,Person,BR,"rap, hip-hop, brazilian music"
Cupid,Person,US,
DJ Snake,Person,FR,"rap, dance, hip hop, electropop, edm, contemporary r&b, 2010s, alternative r&b, moombahton, trap, split me up"
Daddy Yankee,Person,PR,"electronic, rap, dance, hip hop, reggae, latin pop, latin, english, reggaeton, hip hop rnb and dance hall, puerto rico, latin urban, englisch"
Dan Gibson's Solitudes,,,
David Guetta,Person,FR,"electronic, pop, dance, house, seen live, electropop, eurodance, tech house, dance-pop, progressive house, electroclash, english, club, electro house, french house, edm, dance and electronica, house music, future rave, festival progressive house"
Dean Martin,Person,US,"pop, american, easy listening, country pop, big band, vocal jazz, classic pop and rock, standards, traditional pop, christmas music, adult standards"
Die Toten Hosen,Group,DE,"germany, german, punk, punk rock, seen live, hard rock, acoustic rock, pop rock, pop punk, deutschpunk, düsseldorf, rock and indie, deutschrock, n, german-lyrics"
Dimitri Vegas & Like Mike,Group,BE,"electro house, moombahton, future house, future bass, dutch house, electronic, rave, big room house, progressive house, trap"
Diogo Nogueira,Person,BR,
Don Omar,Person,PR,"reggaeton, latin, latin urban, reggaetón"
Dora The Explorer,Character,US,"fixme, wrong, rock, bogus artist"
Drexciya,Group,US,"electro, acid house, warp"
Dub Pistols,Group,GB,"electronic, dub, dance and electronica"
ENHYPEN,Group,KR,"k-pop, boy band, pop, boy group, boysband"
Eason Chan,,,
Ed Solo,Person,GB,"drum and bass, jungle"
Eikichi Yazawa,,,
Ella Fitzgerald,Person,US,"pop, jazz, american, blues, ballads, swing, big band, vocal jazz, live, classic pop and rock, traditional pop, sunshine, death by diabetes, 2008 universal fire victim, aln-sh"
Ellie Goulding,Person,GB,"synthpop, pop, drum and bass, dance, indie, synth-pop, electropop, female vocals, indie pop, dance-pop, indie folk, dream pop, chamber pop, club, indietronica, composers, edm, film soundtrack, singers, contemporary r&b, a filk artist, instrumentalists"
Elvis Presley,Person,US,"rock, pop, american, blues, singer, rockabilly, country, soul, rock n roll, country rock, pop rock, blue-eyed soul, gospel, rock and roll, oldies, love, film soundtrack, classic pop and rock, party, best, gospel music, singers, christmas music, actors, guitarists, r&b, rock & roll, pop/rock, flaming, if you talk in your sleep, in the studio, eddie rubin, rock-and-roll, aln-sh, rock musicians, https://musicbrainz.org/artist/01809552-4f87-45b0-afff-2c6f0730a3be"
Enigma,Group,DE,"trance, electronic, downtempo, instrumental, ambient, german, house, new age, worldbeat, european, classic pop and rock, ambient pop"
Exaltasamba,Group,BR,
FKA twigs,Person,,"electronic, pop, dance, experimental, uk, techno, electronica, avant-garde, english, trip hop, indie electronic, uk bass, ambient pop, r&b, alternative/indie rock, art pop, alternative r&b, trap, future bass, glitch pop, deconstructed club, left-field pop, avant-garde pop, englisch, poggers"
Faithless,Group,GB,"trip-hop, trance, electronic, downtempo, rap, dance, house, techno, dance-pop, progressive trance, progressive house, trip hop, united kingdom, dance and electronica, maxi jazz"
Faye Wong,,,
Feid,Person,CO,"latin, reggaeton, latin urban, trap latino"
Felix Jaehn,Person,DE,"edm, tropical house, dance, house"
Ferrugem,Person,BR,
Five Finger Death Punch,Group,US,"heavy metal, hard rock, alternative metal, groove metal"
George Jones,Person,US,"american, country, honky tonk, classic country, 2008 universal fire victim, grand tour"
Georges Bizet,Person,FR,"classical, french, orchestral, production music, opera, piano, composer, romantic, european, chorale, symphony, french composer, romantic classical"
Germaine Franco,Person,US,
Gerson Rufino,,,
Ghost,Group,SE,"rock, progressive rock, heavy metal, metal, doom metal, hard rock, psychedelic rock, psychedelic, pop rock, occult rock, suécia"
Giacomo Puccini,Person,IT,"romantic classical, art song, european, composer, italian, italian composer, classical, opera"
Giuseppe Verdi,Person,IT,"classical, italian, production music, opera, composer, european"
Glass Animals,Group,GB,"trip-hop, electronic, pop, uk, indie rock, indie, psychedelic rock, indie pop, psychedelic pop, english, indietronica, englisch, the sims"
Glee Cast,Group,US,"pop, fixme, bogus artist, cast, needs disambiguation/annotation, aln-sh"
Gojira,Group,FR,"heavy metal, melodic death metal, french, progressive metal, thrash metal, metal, death metal, france, usa, heavy, technical death metal, alternative metal, avant-garde metal, progressive death metal, groove metal, english, post-metal, technical, pennsylvania, extreme progressive metal, atmospheric, united states, djent, groovy, technical groove metal, polyrhythm, progressive groove metal"
Greensky Bluegrass,Group,US,"bluegrass, jam band, progressive bluegrass, jam grass"
Halsey,Person,US,"rock, pop, alternative rock, dance, hip hop, country, indie, alternative, synth-pop, electropop, female vocalists, female vocals, indie pop, pop rock, alternative pop, queer, r&b, contemporary r&b, 2010s, art pop, alternative r&b, left-field pop, 2020s"
Hank Williams,Person,US,"folk, american, blues, rockabilly, country, poetry, gospel, country blues, outlaw country, honky tonk, traditional country, classic country, hillbilly, death by heart failure, country gospel"
Hans Zimmer,Person,US,"soundtrack, classical, instrumental, german, orchestral, soundtrack composer, game, video game, score, composer, film score, contemporary classical, film, european, vgm, video game music, film soundtrack, film composer, soundtracks, modern classical, academy award winner, television music, cinematic classical"
Henrique & Juliano,Group,BR,sertanejo
Hermetica,Group,AR,"heavy metal, thrash metal, metal, latin, argentina, rock argentino"
Hillsong Worship,Group,AU,"gospel, contemporary christian, contemporary gospel, praise & worship"
Hillsong Young & Free,Group,AU,"ccm, christian, gospel"
Håkan Hellström,Person,SE,"rock, pop, swedish, seen live, indie rock, power pop, folk rock, soul, indie pop, jangle pop, alternative pop, folk pop, swedish pop, alternative/indie rock, independent music, vispop"
ILLENIUM,Person,US,"trance, electronic, pop, drum and bass, dubstep, hardcore, dance, electronica, psytrance, club, edm, trap, trap edm, melodic dubstep, melodic bass, future bass, trap (edm)"
Inner City,Group,US,"electronic, house, classic pop and rock"
Ivan Rebroff,Person,DE,
J Balvin,Person,CO,"kolumbien, spanish, columbia, pop, spanisch, latin urban, hip hop, latin pop, rnb, reggaeton, latin"
Jack Harlow,Person,US,"hip hop, english, rap, pop rap"
James Hype,Person,GB,"dance, house, dj, garage, edm"
Jamie Cullum,Person,GB,"jazz, jazz pop, vocal jazz, crossover jazz, contemporary jazz, jazz and blues"
Jan Blomqvist,Person,DE,
Jasleen Royal,Person,,
Jason Mraz,Person,US,"united states, queer, classic pop and rock, music for soccer moms, american, alternative rock, rock, singer/songwriter, acoustic rock, adult contemporary, pop, pop rock"
Jax,Person,GB,"house, edm"
Jay Chou,,,
Jhayco,Person,PR,"hip hop, latin, reggaeton, trap latino"
Jim Brickman,Person,US,"pop, easy listening, new age, adult contemporary, christmas music"
Jimmy Eat World,Group,US,"rock, alternative rock, american, usa, indie rock, powerpop, power pop, emo, indie, alternative, américain, pop rock, pop punk, rock and indie, emo-pop, emo pop, 2008 universal fire victim"
Jobii,Person,US,lo-fi hip hop
Joey Montana,Person,PA,"latin pop, latin, latin urban, reggaeton"
Johann Sebastian Bach,Person,DE,"classical, german, german composer, orchestral, composer, organist, baroque, latin, european, bach, mass, wagner, six, 134a, motet, mathäuspassion, messe h-moll, vox, cantata, cantata 147, bach double violin concerto, helmut walcha, 1036, bertalan hock, gramophone selection"
John Mayer,Person,US,"rock, pop, alternative rock, jazz, blues, singer-songwriter, indie rock, country, folk rock, production music, alternative, soul, blues rock, country rock, americana, acoustic music, soft rock, acoustic rock, pop rock, blue-eyed soul, folk music, singer/songwriter, alternative/indie rock, contemporary pop/rock, adult alternative pop/rock, contemporary singer/songwriter, john mayer"
Jorge Aragão,Person,BR,"mpb, samba, pagode"
Jorge Drexler,Person,UY,latin ballad
Jota Quest,Group,BR,"alternative rock, power pop, funk rock, soul, pop rock, brazilian rock, post-disco"
Juan Magán,Person,ES,"electronic, dance, latin, reggaeton, merengue, electro latino"
Jubin Nautiyal,Person,IN,"filmi, indian, indian pop, bollywood"
Julio Sosa,Person,UY,tango
Justin Bieber,Person,CA,"pop, black metal, hip hop, electropop, dance-pop, pop rap, english, reggaeton, gay, amazing, contemporary country, teen pop, christmas music, r&b, contemporary r&b, 2010s, tropical house, terrible, awful, 2020s, reggea"
Justnormal,Person,,"lo-fi hip hop, hip hop, chillwave, lo-fi, downtempo, instrumental, boom bap, instrumental hip hop"
KAROL G,Person,CO,"pop, spanish, latin, english, reggaeton, r&b, latin urban"
KSHMR,Person,US,"electro house, edm, big room house, electronic, house, butda wr wut🌟"
Kacey Musgraves,Person,US,"easy listening, country, americana, country pop, alternative country, contemporary country"
Kailash Kher,Person,IN,"indian pop, hindi, bollywood playback"
Kathleen Madigan,Person,US,
Kato,Person,DK,"house, danish, dj"
Kemuel,,,
Kevin Roldan,Person,CO,"kevin roldan, kr, si no te enamoras, reggaeton, contigo, bonita, latin, latin urban, eres mi droga"
Keyakizaka46,,,
Kid Abelha,Group,BR,"rock, pop-rock, brazilian"
Kidz Bop Kids,,,
Koo Koo Kanga Roo,,,
Krewella,Group,US,"trap edm, electronic dance, drum and bass, progressive house, electro house, hardstyle, dubstep, trap, techno, edm, electronic rock, dance-pop, electropop"
Lamb of God,Group,US,"political, metal, metalcore, american, usa, groove metal, virginia, rock and indie, united states, angry, aggressive, rhythmic"
Lasse Stefanz,Group,SE,dansband
Legião Urbana,Group,BR,"rock, alternative rock, brazilian, brasil, pop rock, brazilian rock, brazil, rock nacional, legião urbana, rock alternativo, pop rock brasil, rock brasil"
